City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
307,Beyneu,KZ,45.3167,55.2,82.06,46,11,8.25,few clouds
308,Katsuura,JP,35.1333,140.3,87.84,69,10,8.95,clear sky
309,Sangar,RU,63.9242,127.4739,67.69,71,100,2.55,overcast clouds
310,Norman Wells,CA,65.282,-126.8329,59.04,77,90,9.22,overcast clouds
311,Mount Isa,AU,-20.7333,139.5,73.17,27,0,5.75,clear sky
312,Nioro,GM,13.35,-15.75,73.44,80,66,4.56,broken clouds
313,Ust-Ishim,RU,57.6935,71.1665,67.39,91,100,4.36,overcast clouds
314,Cerrito,CO,6.8432,-72.694,51.19,89,99,4.79,overcast clouds
315,Taybad,IR,34.74,60.7756,83.37,15,0,11.83,clear sky
316,Zhangjiakou,CN,40.81,114.8794,77.97,67,100,5.41,overcast clouds
317,Camopi,GF,3.1655,-52.3158,71.55,99,60,2.13,broken clouds
318,Carauari,BR,-4.8828,-66.8958,78.42,62,98,0.76,overcast clouds
319,Muroto,JP,33.2833,134.15,86.04,81,100,11.39,overcast clouds
320,East London,ZA,-33.0153,27.9116,52.34,62,89,3.53,overcast clouds
321,Iqaluit,CA,63.7506,-68.5145,51.53,62,75,5.99,broken clouds
322,High Level,CA,58.5169,-117.136,64.51,77,75,5.75,light intensity shower rain
323,Guanica,PR,17.9716,-66.908,82.26,85,94,6.4,overcast clouds
324,Srikakulam,IN,18.3,83.9,83.07,77,100,8.23,overcast clouds
325,Thinadhoo,MV,0.5333,72.9333,81.95,77,72,8.34,broken clouds
326,Mahmudabad,IN,27.3,81.1167,87.76,74,66,12.28,broken clouds
327,Khurda,IN,20.1833,85.6167,83.79,70,100,7.11,overcast clouds
328,Mandalgovi,MN,45.7625,106.2708,70.63,38,100,2.95,overcast clouds
329,Namatanai,PG,-3.6667,152.4333,84.79,69,45,7.45,scattered clouds
330,Olinda,BR,-8.0089,-34.8553,73.13,73,40,5.75,scattered clouds
331,Starobaltachevo,RU,56.0013,55.9213,59.76,76,41,2.84,scattered clouds
332,Talnakh,RU,69.4865,88.3972,67.82,74,100,22.06,light rain
333,Cayenne,GF,4.9333,-52.3333,81.09,81,0,3.0,clear sky
334,Tabas,IR,33.5959,56.9244,89.83,14,0,3.04,clear sky
335,Aklavik,CA,68.2191,-135.0107,67.03,31,37,4.54,scattered clouds
336,Kembe,CF,4.6228,21.8865,70.16,87,80,2.55,broken clouds
337,Bom Jesus,BR,-9.0744,-44.3586,66.78,70,2,2.59,clear sky
338,Shingu,JP,33.7333,135.9833,86.99,69,100,6.53,overcast clouds
339,Luderitz,NA,-26.6481,15.1594,62.92,24,16,22.44,few clouds
340,Lincoln,US,40.8,-96.667,88.12,66,0,1.99,clear sky
341,Richards Bay,ZA,-28.783,32.0377,56.05,57,100,14.45,light rain
342,Mandera,KE,3.9366,41.867,75.16,65,100,19.13,overcast clouds
343,Prachuap Khiri Khan,TH,12.2167,99.75,84.69,76,100,9.93,overcast clouds
344,Carballo,ES,43.213,-8.691,64.08,91,63,5.88,broken clouds
345,Natal,BR,-5.795,-35.2094,72.25,100,75,6.91,broken clouds
