City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
284,Atasu,KZ,78.21,clear sky,48.6814,71.6433,Dostyk
285,Garowe,SO,73.47,overcast clouds,8.4054,48.4845,Curubo Hotel
290,Sabang,ID,83.61,overcast clouds,5.8933,95.3214,Hotel Citra
291,Alihe,CN,79.97,overcast clouds,50.5667,123.7167,Alihe Forestry Hotel
292,Sibolga,ID,82.63,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
293,Hambantota,LK,79.14,broken clouds,6.1241,81.1185,Bungalow 63
295,Ferkessedougou,CI,72.21,overcast clouds,9.6,-5.2,Hotel Chateau
296,Pacific Grove,US,82.26,broken clouds,36.6177,-121.9166,Lovers Point Inn
298,Caorle,IT,75.61,broken clouds,45.5966,12.8758,Maxim
301,Kindu,CD,78.42,overcast clouds,-2.95,25.95,Résidence Okanda
302,Kahului,US,84.97,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
303,Acarau,BR,78.87,scattered clouds,-2.8856,-40.12,castelo pizzaria
304,Brigantine,US,76.01,clear sky,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
306,Vila Franca Do Campo,PT,70.21,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
307,Beyneu,KZ,82.06,few clouds,45.3167,55.2,NUR
311,Mount Isa,AU,73.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
315,Taybad,IR,83.37,clear sky,34.74,60.7756,لی پوش jean center
316,Zhangjiakou,CN,77.97,overcast clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
318,Carauari,BR,78.42,overcast clouds,-4.8828,-66.8958,Hotel Fellip
323,Guanica,PR,82.26,overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
324,Srikakulam,IN,83.07,overcast clouds,18.3,83.9,Sriram residency
327,Khurda,IN,83.79,overcast clouds,20.1833,85.6167,Bagbaan Villa
328,Mandalgovi,MN,70.63,overcast clouds,45.7625,106.2708,В.Ганбат
329,Namatanai,PG,84.79,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
330,Olinda,BR,73.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
333,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
342,Mandera,KE,75.16,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
343,Prachuap Khiri Khan,TH,84.69,overcast clouds,12.2167,99.75,ผกากรองรีสอร์ท
345,Natal,BR,72.25,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
346,Rapar,IN,82.98,overcast clouds,23.5667,70.6333,Dharamshi Bapa’s Home
349,Kokoda,PG,80.65,overcast clouds,-8.8785,147.7407,Daito Guest House
350,Bengkulu,ID,81.03,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
351,Salamiyah,SY,71.56,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
353,Bayir,TR,72.12,clear sky,37.2687,28.2167,Hotel Babadag
354,Zuenoula,CI,71.98,overcast clouds,7.4292,-6.0431,Hotel Prestige Zla
356,Praia Da Vitoria,PT,71.85,broken clouds,38.7333,-27.0667,Hotel Branco I
360,Sulangan,PH,84.7,overcast clouds,11.1373,123.7228,Maia's Beach Resort
362,Port Blair,IN,82.31,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
363,Ponta Delgada,PT,70.52,broken clouds,37.7333,-25.6667,Vila Nova Hotel
367,Pemangkat,ID,83.86,overcast clouds,1.1667,108.9667,Ramah Kost KITA
369,The Valley,AI,82.26,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
370,Karpathos,GR,75.24,clear sky,35.507,27.2132,Alex
371,Damghan,IR,81.3,clear sky,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
372,Kachiry,KZ,75.63,scattered clouds,53.0675,76.1036,"Ночной клуб BasMax, Гостиница , Ресторан , Магазин-автозап. сто вулканизатор ,"
373,Fairbanks,US,75.54,light rain,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
374,Fukue,JP,82.76,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
375,Ribeira Grande,PT,70.9,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
378,Odweyne,SO,72.84,overcast clouds,9.4092,45.064,Eng Hiirey House
381,Kigoma,TZ,73.92,few clouds,-4.8769,29.6267,MJI Mwema Lodge
383,Nador,MA,77.07,clear sky,35.174,-2.9287,Hôtel La Giralda
384,Markala,ML,80.65,few clouds,13.7021,-6.0659,Famille Abdoulaye Bana DIALLO
386,Altamira,BR,73.56,overcast clouds,-3.2033,-52.2064,Requinte Hotel
388,Jiran,IN,77.05,broken clouds,24.3167,74.8833,अनमाेल होटल
392,Galesong,ID,80.62,broken clouds,-5.3166,119.3661,Sapriadi Appy
393,Bandarbeyla,SO,78.8,scattered clouds,9.4942,50.8122,JABIR HOTEL
395,Hervey Bay,AU,75.31,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
397,Gurupi,BR,74.01,clear sky,-11.7292,-49.0686,Via Norte Hotel
401,Yuci,CN,78.55,clear sky,37.6803,112.7319,Thank Inn Plus Hotel Shanxi Jinzhong Yuci District Yingbin West Street Yinhaixinyue
408,Sabancuy,MX,82.89,overcast clouds,18.9667,-91.1833,pulpo
409,Mindelo,CV,74.75,scattered clouds,16.8901,-24.9804,Hotel Gaudi
411,Balkhash,KZ,72.21,clear sky,46.844,74.9804,Family
414,Ternate,ID,83.5,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
417,Bongaree,AU,74.53,clear sky,-27.0797,153.1586,The Gums Anchorage
418,Cody,US,84.49,clear sky,44.5263,-109.0565,Buffalo Bill (Cabins) Village
419,Airai,TL,75.61,broken clouds,-8.9266,125.4092,Juvinal Martin
421,Pascagoula,US,84.25,scattered clouds,30.3658,-88.5561,Regency Inn
422,Terney,RU,82.13,broken clouds,45.0503,136.6092,"Hotel ""Ternay"""
